Feature,Baseline_RMSE,Permuted_RMSE,RMSE_Increase
event_depth,0.31090139676867107,0.6164537829672744,0.3055523861986033
depth_distance_interaction,0.31090139676867107,0.4059112520858736,0.09500985531720252
log_distance,0.31090139676867107,0.3883260887740377,0.07742469200536661
log_Vs30,0.31090139676867107,0.3632324759700362,0.05233107920136515
Vs30_clean,0.31090139676867107,0.35744630411567496,0.046544907347003894
grid_lon,0.31090139676867107,0.3546010111847164,0.04369961441604531
hypocentral_distance_km,0.31090139676867107,0.3478961756906523,0.03699477892198122
magnitude,0.31090139676867107,0.33575652093438557,0.024855124165714504
epicentral_distance_km,0.31090139676867107,0.3292928509441301,0.01839145417545901
grid_lat,0.31090139676867107,0.3248711475905148,0.013969750821843707
magnitude_squared,0.31090139676867107,0.31969679803000883,0.008795401261337765
magnitude_distance_interaction,0.31090139676867107,0.3132935160412981,0.002392119272627058
Vs30_available,0.31090139676867107,0.2815254609468815,-0.029375935821789545
